sample	study_id	site	id
A59	MB17003	Bushbuckridge	bushbuckridge_1
A60	MB17004	Bushbuckridge	bushbuckridge_2
A61	MB17006	Bushbuckridge	bushbuckridge_3
A62	MB17007	Bushbuckridge	bushbuckridge_4
A63	MB17009	Bushbuckridge	bushbuckridge_5
A64	MB17010	Bushbuckridge	bushbuckridge_6
A66	MB17012	Bushbuckridge	bushbuckridge_7
A67	MB17013	Bushbuckridge	bushbuckridge_8
A68	MB17015	Bushbuckridge	bushbuckridge_9
A69	MB17016	Bushbuckridge	bushbuckridge_10
A70	MB17017	Bushbuckridge	bushbuckridge_11
A71	MB17018	Bushbuckridge	bushbuckridge_12
A72	MB17019	Bushbuckridge	bushbuckridge_13
A73	MB17020	Bushbuckridge	bushbuckridge_14
A75	MB17022	Bushbuckridge	bushbuckridge_15
A77	MB17024	Bushbuckridge	bushbuckridge_16
A78	MB17025	Bushbuckridge	bushbuckridge_17
A79	MB17026	Bushbuckridge	bushbuckridge_18
B1	MB17027	Bushbuckridge	bushbuckridge_19
B10	MB17038	Bushbuckridge	bushbuckridge_20
B11	MB17039	Bushbuckridge	bushbuckridge_21
B12	MB17040	Bushbuckridge	bushbuckridge_22
B13	MB17041	Bushbuckridge	bushbuckridge_23
B14	MB17042	Bushbuckridge	bushbuckridge_24
B15	MB17043	Bushbuckridge	bushbuckridge_25
B16	MB17044	Bushbuckridge	bushbuckridge_26
B17	MB17045	Bushbuckridge	bushbuckridge_27
B18	MB17047	Bushbuckridge	bushbuckridge_28
B2	MB17028	Bushbuckridge	bushbuckridge_29
B20	MB17049	Bushbuckridge	bushbuckridge_30
B22	MB17051	Bushbuckridge	bushbuckridge_31
B23	MB17052	Bushbuckridge	bushbuckridge_32
B24	MB17053	Bushbuckridge	bushbuckridge_33
B25	MB17054	Bushbuckridge	bushbuckridge_34
B26	MB17055	Bushbuckridge	bushbuckridge_35
B27	MB17056	Bushbuckridge	bushbuckridge_36
B28	MB17057	Bushbuckridge	bushbuckridge_37
B29	MB17058	Bushbuckridge	bushbuckridge_38
B30	MB17059	Bushbuckridge	bushbuckridge_39
B31	MB17061	Bushbuckridge	bushbuckridge_40
B32	MB17062	Bushbuckridge	bushbuckridge_41
B33	MB17063	Bushbuckridge	bushbuckridge_42
B34	MB17064	Bushbuckridge	bushbuckridge_43
B36	MB17066	Bushbuckridge	bushbuckridge_44
B37	MB17067	Bushbuckridge	bushbuckridge_45
B38	MB17070	Bushbuckridge	bushbuckridge_46
B39	MB17071	Bushbuckridge	bushbuckridge_47
B4	MB17030	Bushbuckridge	bushbuckridge_48
B40	MB17072	Bushbuckridge	bushbuckridge_49
B41	MB17073	Bushbuckridge	bushbuckridge_50
B42	MB17075	Bushbuckridge	bushbuckridge_51
B43	MB17076	Bushbuckridge	bushbuckridge_52
B44	MB17077	Bushbuckridge	bushbuckridge_53
B45	MB17078	Bushbuckridge	bushbuckridge_54
B46	MB17079	Bushbuckridge	bushbuckridge_55
B47	MB17080	Bushbuckridge	bushbuckridge_56
B48	MB17081	Bushbuckridge	bushbuckridge_57
B49	MB17082	Bushbuckridge	bushbuckridge_58
B5	MB17031	Bushbuckridge	bushbuckridge_59
B50	MB17083	Bushbuckridge	bushbuckridge_60
B52	MB17085	Bushbuckridge	bushbuckridge_61
B55	MB17088	Bushbuckridge	bushbuckridge_62
B56	MB17091	Bushbuckridge	bushbuckridge_63
B57	MB17092	Bushbuckridge	bushbuckridge_64
B58	MB17093	Bushbuckridge	bushbuckridge_65
B61	MB17096	Bushbuckridge	bushbuckridge_66
B62	MB17097	Bushbuckridge	bushbuckridge_67
B63	MB17098	Bushbuckridge	bushbuckridge_68
B65	MB17100	Bushbuckridge	bushbuckridge_69
B66	MB17101	Bushbuckridge	bushbuckridge_70
B67	MB17102	Bushbuckridge	bushbuckridge_71
B68	MB17103	Bushbuckridge	bushbuckridge_72
B69	MB17104	Bushbuckridge	bushbuckridge_73
B7	MB17033	Bushbuckridge	bushbuckridge_74
B70	MB17105	Bushbuckridge	bushbuckridge_75
B71	MB17106	Bushbuckridge	bushbuckridge_76
B72	MB17014	Bushbuckridge	bushbuckridge_77
B73	MB17037	Bushbuckridge	bushbuckridge_78
B74	MB17046	Bushbuckridge	bushbuckridge_79
B75	MB17068	Bushbuckridge	bushbuckridge_80
B76	MB17069	Bushbuckridge	bushbuckridge_81
B77	MB17074	Bushbuckridge	bushbuckridge_82
B78	MB17034	Bushbuckridge	bushbuckridge_83
B8	MB17035	Bushbuckridge	bushbuckridge_84
B9	MB17036	Bushbuckridge	bushbuckridge_85
C1	CBSNC	Bushbuckridge	bushbuckridge_86
C10	HEJHE	Bushbuckridge	bushbuckridge_87
C11	DFEZM	Bushbuckridge	bushbuckridge_88
C12	EDFHQ	Bushbuckridge	bushbuckridge_89
C13	HDWHX	Bushbuckridge	bushbuckridge_90
C14	JQKFV	Bushbuckridge	bushbuckridge_91
C15	HVFJZ	Bushbuckridge	bushbuckridge_92
C16	FRGPC	Bushbuckridge	bushbuckridge_93
C17	CTBOZ	Bushbuckridge	bushbuckridge_94
C18	GWBHF	Bushbuckridge	bushbuckridge_95
C19	BKHRQ	Bushbuckridge	bushbuckridge_96
C2	DZWHL	Bushbuckridge	bushbuckridge_97
C20	ELHZE	Bushbuckridge	bushbuckridge_98
C21	KLHYD	Bushbuckridge	bushbuckridge_99
C22	JRWPH	Bushbuckridge	bushbuckridge_100
C23	BZEHG	Bushbuckridge	bushbuckridge_101
C24	FQOSV	Bushbuckridge	bushbuckridge_102
C25	BQNHZ	Bushbuckridge	bushbuckridge_103
C26	CCLEW	Bushbuckridge	bushbuckridge_104
C27	CLLYS	Bushbuckridge	bushbuckridge_105
C28	EKZCV	Bushbuckridge	bushbuckridge_106
C29	HGRSG	Bushbuckridge	bushbuckridge_107
C3	CQGFO	Bushbuckridge	bushbuckridge_108
C30	HFZEJ	Bushbuckridge	bushbuckridge_109
C31	KDRZJ	Bushbuckridge	bushbuckridge_110
C32	DGXFV	Bushbuckridge	bushbuckridge_111
C33	JLNGC	Bushbuckridge	bushbuckridge_112
C4	HPRXQ	Bushbuckridge	bushbuckridge_113
C5	DZPJR	Bushbuckridge	bushbuckridge_114
C6	EZWQX	Bushbuckridge	bushbuckridge_115
C8	DKWHW	Bushbuckridge	bushbuckridge_116
C9	JXTVM	Bushbuckridge	bushbuckridge_117
A1	1186710	Soweto	soweto_1
A10	2031518	Soweto	soweto_2
A11	2123689	Soweto	soweto_3
A12	2146745	Soweto	soweto_4
A13	2266332	Soweto	soweto_5
A15	2554637	Soweto	soweto_6
A16	3379474	Soweto	soweto_7
A17	3480141	Soweto	soweto_8
A18	3602219	Soweto	soweto_9
A19	3663723	Soweto	soweto_10
A2	1333396	Soweto	soweto_11
A21	3924929	Soweto	soweto_12
A22	3956441	Soweto	soweto_13
A24	4233802	Soweto	soweto_14
A25	4858889	Soweto	soweto_15
A26	4971044	Soweto	soweto_16
A27	CAWOD	Soweto	soweto_17
A28	CAX0E	Soweto	soweto_18
A29	CBY0H	Soweto	soweto_19
A30	CBZOI	Soweto	soweto_20
A31	CCJOV	Soweto	soweto_21
A32	CCPOB	Soweto	soweto_22
A33	CDKOY	Soweto	soweto_23
A34	CFI0B	Soweto	soweto_24
A35	CFVOM	Soweto	soweto_25
A36	CHPOL	Soweto	soweto_26
A37	CKQOT	Soweto	soweto_27
A38	CKXOB	Soweto	soweto_28
A39	CLNOT	Soweto	soweto_29
A4	1499095	Soweto	soweto_30
A41	CQMOC	Soweto	soweto_31
A42	CRCOS	Soweto	soweto_32
A43	CRXON	Soweto	soweto_33
A44	CSK0E	Soweto	soweto_34
A45	CVQON	Soweto	soweto_35
A46	CWIOI	Soweto	soweto_36
A47	CWQ0Q	Soweto	soweto_37
A48	CXCOE	Soweto	soweto_38
A49	DBGOS	Soweto	soweto_39
A50	DBT0G	Soweto	soweto_40
A51	DCGOV	Soweto	soweto_41
A52	DDPOG	Soweto	soweto_42
A53	DDWOM	Soweto	soweto_43
A54	DDZ0Q	Soweto	soweto_44
A55	DEROK	Soweto	soweto_45
A56	DGEOC	Soweto	soweto_46
A57	DGV05	Soweto	soweto_47
A58	DHHOH	Soweto	soweto_48
A6	1597674	Soweto	soweto_49
A9	1930043	Soweto	soweto_50
B79	4152135	Soweto	soweto_51
