Sample	Bin	Final.Class	Polishing
C27	bin.11	Clostridium_sp.	short read only
C27	bin.114	Treponema_succinifaciens	short read only
C27	bin.130	Lachnospiraceae_bacterium	short read only
C27	bin.160	Treponema_sp.	short read only
C27	bin.2	Clostridium_sp.	short read only
C27	bin.30	Bacteroidales_bacterium	short read only
C29	bin.1	Clostridium_sp.	short read only
C29	bin.156	Clostridiales_bacterium	short read only
C29	bin.3	Clostridiales_bacterium	short read only
C29	bin.31	Bacteroides_vulgatus	short read only
C29	bin.32	Porphyromonadaceae_bacterium	short read only
C29	bin.94	Bacteroides_sp.	short read only
C29	bin.127	Ruminococcaceae_bacterium	short read only
C29	bin.14	uncultured_Ruminococcus	short read only
C33	bin.104	Alistipes_putredinis	short read only
C33	bin.144	Lachnospiraceae_bacterium	short read only
C33	bin.182	Clostridiales_bacterium	short read only
C33	bin.194	Clostridiales_bacterium	short read only
C33	bin.2	Clostridiales_bacterium	short read only
C33	bin.207	Clostridium_sp.	short read only
C33	bin.244	Bacilli_bacterium	short read only
C33	bin.253	Bacteroidales_bacterium	short read only
C33	bin.255	Anaerotruncus_sp.	short read only
C33	bin.4	Bacteroidales_bacterium	short read only
C33	bin.44	Eubacterium	short read only
C33	bin.6	uncultured_Ruminococcus	short read only
C33	bin.7	Clostridiales_bacterium	short read only
C33	bin.8	Ruminococcaceae_bacterium	short read only
C33	bin.27	Clostridiales_bacterium	short read only
C33	bin.271	Mycoplasma_sp.	short read only
C33	bin.3	Ruminococcaceae_bacterium	short read only
C33	bin.228	Clostridium_sp.	short read only
C33	bin.232	Oscillibacter_sp.	short read only
C33	bin.233	Lentisphaeria_bacterium	short read only
C33	bin.24	Bacteroides_sp.	short read only
C33	bin.1	Candidatus_Melainabacteria	long read polished
C33	bin.107	Bacteroides_ovatus	long read polished
C33	bin.108	Clostridiales_bacterium	long read polished
C33	bin.117	Prevotella_sp.	long read polished
C33	bin.152	Firmicutes_bacterium	long read polished
C33	bin.160	Bacteroides_sp.	long read polished
C33	bin.169	Clostridium_sp.	long read polished
C33	bin.19	Alistipes_obesi	long read polished
C33	bin.194	Ruminococcaceae_bacterium	long read polished
C33	bin.207	Lentisphaeria_bacterium	long read polished
C33	bin.233	Clostridium_sp.	long read polished
C33	bin.239	Clostridium_sp.	long read polished
C33	bin.260	Anaerotruncus_sp.	long read polished
C33	bin.265	Clostridiales_bacterium	long read polished
C33	bin.266	Firmicutes_bacterium	long read polished
C33	bin.267	Catabacter_sp.	long read polished
C33	bin.284	Mollicutes_bacterium	long read polished
C33	bin.287	Ruminococcaceae_bacterium	long read polished
C33	bin.29	Bacteroidales_bacterium	long read polished
C33	bin.3	uncultured_Ruminococcus	long read polished
C33	bin.4	Clostridiales_bacterium	long read polished
C33	bin.43	Eubacterium	long read polished
C33	bin.44	Clostridium_sp.	long read polished
C33	bin.50	Bacilli_bacterium	long read polished
C33	bin.52	Mycoplasma_sp.	long read polished
C33	bin.53	Bacillales_bacterium	long read polished
C33	bin.67	Bacteroides_vulgatus	long read polished
C33	bin.73	Clostridiales_bacterium	long read polished
C33	bin.83	Firmicutes_bacterium	long read polished
C33	bin.85	Lachnospiraceae_bacterium	long read polished
C33	bin.87	Clostridium_sp.	long read polished
C33	bin.97	Lachnospiraceae_bacterium	long read polished
C29	bin.1	Porphyromonadaceae_bacterium	long read polished
C29	bin.123	Bacteroides_vulgatus	long read polished
C29	bin.146	Clostridiales_bacterium	long read polished
C29	bin.173	Ruminococcaceae_bacterium	long read polished
C29	bin.184	Ruminococcaceae_bacterium	long read polished
C29	bin.187	Bacteroides_sp.	long read polished
C29	bin.189	Firmicutes_bacterium	long read polished
C29	bin.229	Lachnospiraceae_bacterium	long read polished
C29	bin.5	Clostridiales_bacterium	long read polished
C29	bin.7	Clostridium_sp.	long read polished
C27	bin.10	Treponema_sp.	long read polished
C27	bin.141	Bacillales_bacterium	long read polished
C27	bin.165	Clostridiales_bacterium	long read polished
C27	bin.190	Bacteroidales_bacterium	long read polished
C27	bin.4	Clostridium_sp.	long read polished
C27	bin.5	Clostridiales_bacterium	long read polished
C27	bin.79	Firmicutes	long read polished
C27	bin.84	Lachnospiraceae_bacterium	long read polished
C27	bin.9	Treponema_succinifaciens	long read polished
